N           POW DFR         STDSort     RADULS      SkaSort
100	        2   72	        9           35          12
1000	    3   106	        99          2495        57
10000	    4   357	        1297        4050        555
100000	    5   3915	    14260       6344        7829
1000000	    6   30305	    99030       33106       54260
10000000	7   400963	    762735      279323      973693
100000000	8   4188510	    8109444     1813349     8789985
1000000000	9   43092593	91525398    26701920    88402766
